SMILES,cox2,estrogen,gelatinase,neuramidase,kinase,thrombin,none
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)CC2)C3=CC(=CN=C3)Cl,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)CC2)C3=NC=C(Cl)C=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C(CO)=C(CO)C2=CC(=C(F)C=C2)F,1,0,0,0,0,0,0
COC(=O)C(=C(C)C1=CC=C(C=C1)[S](C)(=O)=O)C2=CC=CC=C2,1,0,0,0,0,0,0
CN(C)C(=O)C(=C(C)C1=CC=C(C=C1)[S](C)(=O)=O)C2=CC=CC=C2,1,0,0,0,0,0,0
CCOC(=O)C(CCO)=C(C1=CC=C(F)C=C1)C2=CC=C(C=C2)[S](C)(=O)=O,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C(=C2CCCC2)C3=CC=C(F)C=C3,1,0,0,0,0,0,0
N[S](=O)(=O)C1=CC=C(C=C1)C(=C2CCOC2=O)C3=CC=C(Cl)C=C3,1,0,0,0,0,0,0
CC1(C)CC(C(=O)O1)=C(C2=CC=C(F)C=C2)C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(OC3=CC=CC=C3)C=CC(=C2)C#N,1,0,0,0,0,0,0
CCC1OC(=O)C(=C1C2=CC=C(C=C2)[S](C)(=O)=O)SC3=CC=CC=C3,1,0,0,0,0,0,0
CCC1OC(=O)C(=C1C2=CC=C(C=C2)[S](C)(=O)=O)C(=O)C3=CC=CC=C3,1,0,0,0,0,0,0
CCC1OC(=O)C(=C1C2=CC=C(C=C2)[S](C)(=O)=O)OC(C)CBr,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(OC3=CC=C(F)C=C3)C(=O)NN=C2,1,0,0,0,0,0,0
CN(O)C(=O)CC1=NC(=C(O1)C2=CC=C(C=C2)[S](C)(=O)=O)C3=CC=C(F)C=C3,1,0,0,0,0,0,0
COC1(CCOCC1)C2=C(F)C=C(OCC3=NC(=C(O3)C4=CC=C(C=C4)[S](C)(=O)=O)C5=CC=C(F)C=C5)C=C2,1,0,0,0,0,0,0
COC1(CCOCC1)C2=C(F)C=C(OCC3=N[N](C4=CC=C(C=C4)[S](C)(=O)=O)C(=C3)C5=CC=C(Cl)C=C5)C=C2,1,0,0,0,0,0,0
COC1=CC(=CC=C1)SCC2=N[N](C3=CC=C(C=C3)[S](C)(=O)=O)C(=C2)C4=CC=C(Cl)C=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=C3SC=C[N]23)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(SC3=NC=N[N]23)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=CC3=C(C=CC=C3)[N]2C4=CC=CC=C4,1,0,0,0,0,0,0
COC1=CC2=CC=C3C(=N[N](C4=CC=C(C=C4)[S](C)(=O)=O)C3=C2C=C1)C(F)F,1,0,0,0,0,0,0
COC1=CC2=C(C=C1)[N](C(=C2CC(O)=O)C)C(=O)C3=CC=C(Cl)C=C3,1,0,0,0,0,0,0
COC1=CC2=C(C=C1)[N](C(=C2CC(O)=O)C)C(=O)C3=C(Cl)C=C(Cl)C=C3Cl,1,0,0,0,0,0,0
COC1=CC2=C(C=C1)[N](CC3=CC=C(Br)C=C3)C(=C2CC(O)=O)C,1,0,0,0,0,0,0
CC(C(O)=O)C1=C(C)[N](CC2=CC=C(Br)C=C2)C3=C1C=C(Br)C=C3,1,0,0,0,0,0,0
CC(C(O)=O)C1=C(C)[N](CC2=CC=C(Br)C=C2)C3=C1C=C(Br)C=C3,1,0,0,0,0,0,0
COC1=CC2=C(C=C1)[N](CC3=CC=C(Br)C=C3)C(=C2CC4(CC4)CC(O)=O)C,1,0,0,0,0,0,0
COC1=CC2=C(C=C1)[N](C(=C2CC3=NC(=CS3)C4=CC=C(Br)C=C4)C)C(=O)C5=CC=C(Cl)C=C5,1,0,0,0,0,0,0
CC1=C(C(=O)C2=CC=CC=C2)C3=CC=CC=CC3=C1CC(O)=O,1,0,0,0,0,0,0
CSC1=CC=C(C=C1)C=C2C(=C(CC(O)=O)C3=C2C=CC(=C3)F)C,1,0,0,0,0,0,0
CSC1=CC=C(C=C1)C=C2C(=C(CC(=O)C3=C(O)COC3=O)C4=C2C=CC(=C4)F)C,1,0,0,0,0,0,0
C[N]1C(=CC(=C1C(=O)C2=CC=C(Cl)C=C2)C)CC(O)=O,1,0,0,0,0,0,0
C[N]1C(=CC(=C1C(=O)C2=CC=C(Cl)C=C2)C)CC3=NNC(=O)C=C3,1,0,0,0,0,0,0
OC(=O)CC1=C(NC2=C(Cl)C=C(O)C=C2Cl)C=CC=C1,1,0,0,0,0,0,0
CC1=CC(=C(NC2=C(F)C(=CC(=C2F)F)F)C=C1)CC(O)=O,1,0,0,0,0,0,0
CCC1=C2[NH]C3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,1,0,0,0,0,0,0
CCC1=C2[NH]C3=C(C(=O)COC3(CC)CC(O)=O)C2=CC=C1,1,0,0,0,0,0,0
CCC1=C2[NH]C3=C(C(=O)CCC3(CC)CC(O)=O)C2=CC=C1,1,0,0,0,0,0,0
CC(C(O)=O)C1=CC(=C(C=C1)C2=CC=CC=C2)F,1,0,0,0,0,0,0
CCOC1=CC(=CC(=C1)OCC)C2=C(F)C=C(C=C2)C(C)C(O)=O,1,0,0,0,0,0,0
CN1C(=C(O)C2=C(C=CC=C2)[S]1(=O)=O)C(=O)NC3=NC=C(C)S3,1,0,0,0,0,0,0
CC(C)[S](=O)(=O)C1C(=O)N(CC2=CC=CC=C2)C(=O)C3=C1C=CC(=C3)Cl,1,0,0,0,0,0,0
CC(C)[S](=O)(=O)C1=C(O)N(CC2=CC=CC=C2)C(=O)C3=CC(=CC=C13)Cl,1,0,0,0,0,0,0
CCSC1=NN=C(S1)C2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C,1,0,0,0,0,0,0
CCC1COC2=C(C=C(C=C12)C(=O)CCCC#C)C(C)(C)C,1,0,0,0,0,0,0
CCC1COC2=C(C=C(C=C12)C(=O)CCCC3CC3)C(C)(C)C,1,0,0,0,0,0,0
CCCC(=O)C1=CC(=C2OCC(CC)C2=C1)C(C)(C)C,1,0,0,0,0,0,0
CCCC1=CC2=C(N=CC(=C2)[S](C)(=O)=O)[N]1CC3CCCCC3,1,0,0,0,0,0,0
CCCCC1=CC2=C(N=CC(=N2)[S](C)(=O)=O)[N]1CC3=CC=C(F)C=C3,1,0,0,0,0,0,0
CCCC1=CC2=C(C=CC(=C2)[S](C)(=O)=O)C1=CC3=CC=C(F)C=C3,1,0,0,0,0,0,0
CCCC1=CC2=C(C=CC(=C2)[S](C)(=O)=O)C1=CC3=CC=C(F)C=C3,1,0,0,0,0,0,0
O=[N](=O)C1=CC2=C(C=C1)[N](C3=CC=CC=C3)C(=N2)C=CC4=CC=CC=C4,1,0,0,0,0,0,0
NC(=O)N1C(=O)C(=C(O)C2=CC=CS2)C3=C1C=CC(=C3)C4=CC=CO4,1,0,0,0,0,0,0
C[S](=O)(=O)NC1=CC=C(OC2=CC=C(F)C=C2)S1,1,0,0,0,0,0,0
COC1=CC=C(C=C1)C(=O)C2=C(C)C(=CC=C2)CC3=NNC(=O)C=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC2=CC=C(C#N)C(=C2C=C1)C(=O)C3=CC=C(F)C=C3,1,0,0,0,0,0,0
CSC1=CC2=C(OC(C(=C2)C(O)=O)C(F)(F)F)C=C1,1,0,0,0,0,0,0
CCC1=C(Cl)C=C2C=C(C(OC2=C1)C(F)(F)F)C(O)=O,1,0,0,0,0,0,0
CCC1=C(Cl)C=C2C=C(C(OC2=C1)C(F)(F)F)C(O)=O,1,0,0,0,0,0,0
CC1(C)C(=O)C(=C1C2=CC=C(C=C2)[S](C)(=O)=O)C3=CC=CC=C3,1,0,0,0,0,0,0
CC1(C)C(=O)C(=C1C2=CC=CC=C2)C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(SC(=C2)Br)C3=CC=C(F)C=C3,1,0,0,0,0,0,0
CC1=NC=C(C=C1)C2=C(C=C(Cl)C=N2)C3=CC=C(C=C3)[S](N)(=O)=O,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=CC(=C2)Cl)C3=CN=C(C=C3)C4CC4,1,0,0,0,0,0,0
CC1=NC=C(C=C1)C2=C(C=C(Cl)C=N2)C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
CC1=CC(=CN=C1)C2=C(C=C(Cl)C=N2)C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
CC1=C(C=NC=C1)C2=C(C=C(Cl)C=N2)C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
CC1=C(C=CC=N1)C2=C(C=C(Cl)C=N2)C3=CC=C(C=C3)[S](C)(=O)=O,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=C)C2)C3=CC=CC=C3,1,0,0,0,0,0,0
CCC1C(O)C(=C1C2=CC=C(C=C2)[S](C)(=O)=O)C3=CC=CC=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)C23CCCC3)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(CC3(CC3)C2)C4=CC=C(F)C=C4,1,0,0,0,0,0,0
C[S](=O)(=O)NC1=C(SC2=C(Cl)C=C(Cl)C=N2)C=C3C(=O)CCC3=C1,1,0,0,0,0,0,0
CCC1=CSC(=N1)SC2=C(N[S](C)(=O)=O)C=C3CCC(=O)C3=C2,1,0,0,0,0,0,0
CCC1=CSC(=N1)SC2=C(N[S](C)(=O)=O)C=C3COC(=O)C3=C2,1,0,0,0,0,0,0
CC(C)OC1=C(C2=CC=C(C=C2)[S](C)(=O)=O)C(C)(C)OC1=O,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=C3SC=C[N]23)C4=CC=C(F)C=C4,1,0,0,0,0,0,0
CC1=C[N]2C(=NC(=C2C3=CC=C(C=C3)[S](C)(=O)=O)C4=CC=CC=C4)S1,1,0,0,0,0,0,0
CC1=CSC2=NC(=C([N]12)C3=CC=C(C=C3)[S](C)(=O)=O)C4=CC=CC=C4,1,0,0,0,0,0,0
CSC1=CC=C(C=C1)C2=C(N=C3SC=C[N]23)C4=CC=CC=C4,1,0,0,0,0,0,0
CC1=C[N]2C(=NC(=C2C3=CC=CC=C3)C4=CC=C(C=C4)[S](C)(=O)=O)S1,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C([N]3C=CSC3=N2)C4=CC=CC=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=C(CC3=CC=CC=C3)S2)C4=CC=C(F)C=C4,1,0,0,0,0,0,0
COC1=CC=C(C=C1)C2=NC(=C(S2)C3=CC=C(C=C3)[S](C)(=O)=O)C4=CC=C(F)C=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(N=C(S2)C3=C(Cl)C=CC=C3)C4=CC=C(F)C=C4,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C=C3C=CC=CC3=C2)C4=CC=CC=C4,1,0,0,0,0,0,0
CC(C)(C)C1=C(O)C(=CC(=C1)C=C2NC(=NC2=O)N)C(C)(C)C,1,0,0,0,0,0,0
CC(C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)=C2NC(=NC2=O)NC(N)=[NH2],1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)CC2)C3=CC(=CC(=C3)F)F,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)CC2)C3=CN=CC=C3,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(OC3=CC=CC=C3)C(=O)CC2,1,0,0,0,0,0,0
C[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,1,0,0,0,0,0,0
CC1=CC=C(C=C1)[N]2N=C(C=C2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F,1,0,0,0,0,0,0
CC1(C)OC(=O)C(=C1C2=CC=C(C=C2)[S](C)(=O)=O)OC3=CC4=C([NH]C=C4)C=C3,1,0,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCC2O,0,1,0,0,0,0,0
CCC(C1=CC=C(O)C=C1)=C(CC)C2=CC=C(O)C=C2,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCC2=O,0,1,0,0,0,0,0
CCC(C(CC)C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=COC3=C(C=CC(=C3)O)C2=O,0,1,0,0,0,0,0
OC1=CC=C2C(=C1)OC(=O)C3=C2OC4=C3C=CC(=C4)O,0,1,0,0,0,0,0
OC1=CC2=C(C=C1)C3CCC4=C(C=CC(=C4)O)C3CC2,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCC2O,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCC2CO,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CC(O)C2O,0,1,0,0,0,0,0
CC1=C(O)C=C2CCC3C(CCC4(C)C(O)CCC34)C2=C1,0,1,0,0,0,0,0
CC1CC2=C(C=CC(=C2)O)C3CCC4(C)C(O)CCC4C13,0,1,0,0,0,0,0
CC12CCC3(C)C(CCC4=C3C=CC(=C4)O)C1CCC2O,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCC2(O)C#C,0,1,0,0,0,0,0
CC1CC2C(CCC3=C2C=CC(=C3)O)C4CCC(O)(C#C)C14C,0,1,0,0,0,0,0
COC1CC2(C)C(CCC2(O)C#C)C3CCC4=C(C=CC(=C4)O)C13,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C15CCC(C5)C2O,0,1,0,0,0,0,0
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCCC2O,0,1,0,0,0,0,0
CC12CCC3C(=CCC4=C3C=CC(=C4)O)C1CCC2=O,0,1,0,0,0,0,0
CC12CCC3=C4C=CC(=CC4=CC=C3C1CCC2=O)O,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5,0,1,0,0,0,0,0
CCC(C1=CC=CC=C1)=C(C2=CC=C(O)C=C2)C3=CC=C(OCC[NH](C)C)C=C3,0,1,0,0,0,0,0
CCC(C1=CC=CC=C1)=C(C2=CC=CC=C2)C3=CC=C(OCC[NH](C)C)C=C3,0,1,0,0,0,0,0
CCCCN(C)C(=O)CCCCCCCCCCC1CC2=C(C=CC(=C2)O)C3CCC4(C)C(O)CCC4C13,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=C(OC3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5,0,1,0,0,0,0,0
COC1=CC2=C(C=C1)C(=C(CC2)C3=CC=CC=C3)C4=CC=C(OCC[NH]5CCCC5)C=C4,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=C(CC3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=CC=C(O)C=C5C=C2,0,1,0,0,0,0,0
CC1=C(C(OC2=C1C=CC(=C2)O)C3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=CC=C(O)C=C5,0,1,0,0,0,0,0
OC1=CC2=C(C=C1)C3=CC=C4C=C(O)C=CC4=C3C(O2)C5=CC=C(OCC[NH]6CCCCC6)C=C5,0,1,0,0,0,0,0
CC1=C([N](CCCCCC[NH]2CCCC2)C3=C1C=C(O)C=C3)C4=CC=C(O)C=C4,0,1,0,0,0,0,0
COC1=CC2=C(C=C1)C(C(C3=CC=CC=C3)C(C)(C)O2)C4=CC=C(OCC[NH]5CCCC5)C=C4,0,1,0,0,0,0,0
CC12CC(C3C(CCC4=C3C=CC(=C4)O)C1CCC2O)C5=CC=C(OCCCCC[S](=O)(=O)CCCC(F)(F)C(F)(F)F)C=C5,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=C(CC3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=C(C2)C=C(O)C=C5,0,1,0,0,0,0,0
C[NH](C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3,0,1,0,0,0,0,0
OC1=CC2=C(C=C1)C(=C(S2)C3=CC4=CC=CC=C4C=C3)C(=O)C5=CC=C(OCC[NH]6CCCCC6)C=C5,0,1,0,0,0,0,0
OC1=CC2=C(C=C1)C(=C(S2)C3=CC=CS3)C(=O)C4=CC=C(OCC[NH]5CCCCC5)C=C4,0,1,0,0,0,0,0
OC1=CC(=CC=C1)C2=C(C(=O)C3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5,0,1,0,0,0,0,0
CC1=C(O)C(=CC(=C1)C2=C(C(=O)C3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5)C,0,1,0,0,0,0,0
COC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCC[NH]4CCCC4)C=C3)C5=C(CC2)C=CC=C5,0,1,0,0,0,0,0
C[NH](C)CCOC1=CC=C(C=C1)C(C2=CC(=C(O)C(=C2)C)C)C3=CC(=C(O)C(=C3)C)C,0,1,0,0,0,0,0
CCC1=C([N](N=C1C2=CC=C(O)C=C2)C3=CC=CC=C3)C4=CC=C(O)C=C4,0,1,0,0,0,0,0
CC[N]1C2=C(C=CC(=C2)O)C(=C1C3=CC=C(O)C=C3)C,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=C(C3=CC=C(O)C=C3)C4=C(O2)C=C(O)C=C4,0,1,0,0,0,0,0
CCC1=C(SC2=C1C=CC(=C2)O)C3=CC=C(O)C=C3,0,1,0,0,0,0,0
CC1=C(C(OC2=C1C=C(O)C=C2)C3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=CC=C(O)C=C5,0,1,0,0,0,0,0
COC1=CC=C(C=C1)C2=COC3=C(C=CC(=C3)O)C2=O,0,1,0,0,0,0,0
CCC(C1=CC2=CC=C(OC)C=C2C=C1)C(C)(C)C(O)=O,0,1,0,0,0,0,0
CCC(C1=CC2=C(O1)C=CC=C2)C(C)(C)C(O)=O,0,1,0,0,0,0,0
CC[NH](CC)CCOC1=CC=C(C=C1)C(=C(Cl)C2=CC=CC=C2)C3=CC=CC=C3,0,1,0,0,0,0,0
O=C1C(CCCCC1CC2=CC=CC=C2)CC3=CC=CC=C3,0,1,0,0,0,0,0
OC1=CC(=C(C=C1)C2=CC3=C(C=C(O)C(=C3)Cl)[N]2CCl)Cl,0,1,0,0,0,0,0
OC1=CC=C(C=C1)C2=C(OC3=CC=C(OCC[NH]4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5,0,1,0,0,0,0,0
OC1=CC2=CC=C3C4=CC(=CC=C4OC(C5=CC=C(OCC[NH]6CCCCC6)C=C5)C3=C2C=C1)O,0,1,0,0,0,0,0
OC1=CC2=C(C=C1)C3=C(S2)C4=CC(=CC=C4OC3C5=CC=C(OCC[NH]6CCCCC6)C=C5)O,0,1,0,0,0,0,0
CC12CC(CCl)C3C(CCC4=C3C=CC(=C4)O)C1CCC2O,0,1,0,0,0,0,0
COC1=CC=C(C=C1)[S](=O)(=O)N(CC2=CN=CC=C2)C(C(C)C)C(=O)NO,0,0,1,0,0,0,0
CC1(C)SCCN(C1C(=O)NO)[S](=O)(=O)C2=CC=C(OC3=CC=NC=C3)C=C2,0,0,1,0,0,0,0
CC(C)(C)C(NC(=O)C(CC1CCCC1)C([NH3+])C(=O)NO)C(=O)NC2=CC3=C(OCO3)C=C2,0,0,1,0,0,0,0
CNC(=O)C(CC1=CC=C(OC)C=C1)N[S](=O)(=O)C(CC(C)C)CC(=O)NO,0,0,1,0,0,0,0
OCC(CC1=NC=C[NH]1)NC(=O)C(CCCC2=CC=C(C=C2)C3=CC=CC=C3)CC(=O)NO,0,0,1,0,0,0,0
CNC(=O)C(CC1=CC=CC=C1)N2CCC(CC3CCCC3)(CC(=O)NO)C2=O,0,0,1,0,0,0,0
CC(C)CC1(CCN(CCC2=CC=CC=C2)C1=O)C(CCN3C(=O)C4=C(C=C(F)C=C4)C3=O)C(=O)NO,0,0,1,0,0,0,0
ONC(=O)C1CC2=C(CN1[S](=O)(=O)C3=CC=C(C=C3)C4=CC=C(Cl)C=C4)C=CC=C2,0,0,1,0,0,0,0
CC(N[S](=O)(=O)C1=CC=C(C=CC2=CC=C(C)C=C2)C=C1)C(=O)NO,0,0,1,0,0,0,0
COC1=CC=C(C=C1)N2CCN(CC2)C3=CC=C(C=C3)[S](=O)(=O)NC(CC4=CC=CC=C4)C([O-])=O,0,0,1,0,0,0,0
ONC(=O)C1(CCOCC1)C[S](=O)(=O)C2=CC=C(OC3=CC=C(Cl)C=C3)C=C2,0,0,1,0,0,0,0
ON=C(CCC([O-])=O)C1=CC2=C(C=C1)C3=CC=CC=C3O2,0,0,1,0,0,0,0
[O-]C(=O)C(CCN1C(=O)C2=C(C=CC=C2)C1=O)CC(=O)C3=CC=C(C=C3)C4=CC=C(Cl)C=C4,0,0,1,0,0,0,0
[O-]C(=O)C(CCC(=O)C1=CC=CC=C1)CC(=O)C2=CC=C(C=C2)C3=CC=C(Cl)C=C3,0,0,1,0,0,0,0
[O-]C(=O)C1CCC(CN2N=NC3=C(C=CC=C3)C2=O)C1C(=O)C4=CC=C(C=C4)C5=CC=C(Cl)C=C5,0,0,1,0,0,0,0
CCCCC(CC(CCC1=CC=C(C=C1)C2=CC=C(F)C=C2)C(=O)NC(C(=O)NC)C(C)(C)C)C([O-])=O,0,0,1,0,0,0,0
[NH3+]C(CC[NH2+]C(CC[NH+]1CCC1C([O-])=O)C([O-])=O)C([O-])=O,0,0,1,0,0,0,0
[O-]C(=O)CCC1=CC(COC1=O)=CC=CC=C,0,0,1,0,0,0,0
CNC(=O)C(NC(=O)C(CC(C)C)C(O)C(=O)NO)C(C)(C)C,0,0,1,0,0,0,0
